Stock,Stock Name,Stock Long Name,Board,Sector
"=""5173""",SYSCORP,SHIN YANG SHIPPING CORP BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5175""",IVORY,IVORY PROPERTIES GROUP BERHAD,MAIN MARKET,PROPERTY
"=""5176""",SUNREIT,SUNWAY REAL ESTATE INVT TRUST,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5178""",TATGIAP,TATT GIAP GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5180""",CMMT,CAPITALAND MALAYSIA MALL TRUST,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5181""",SIGGAS,SIG GASES BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5182""",MCT,MCT BERHAD,MAIN MARKET,PROPERTY
"=""5183""",PCHEM,PETRONAS CHEMICALS GROUP BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""518320""",PCHEM-C20,PCHEM-C20: CW PETRONAS CHEMICALS GROUP BERHAD (MIBB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""518322""",PCHEM-C22,PCHEM-C22: CW PETRONAS CHEMICALS GROUP BERHAD (RHB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""518323""",PCHEM-C23,PCHEM-C23: CW PETRONAS CHEMICALS GROUP BERHAD (MACQ),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""518324""",PCHEM-C24,PCHEM-C24: CW PETRONAS CHEMICALS GROUP BERHAD (CIMB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""518325""",PCHEM-C25,PCHEM-C25: CW PETRONAS CHEMICALS GROUP BERHAD (KIBB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""5184""",CYPARK,CYPARK RESOURCES BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5185""",AFFIN,AFFIN BANK BERHAD,MAIN MARKET,FINANCIAL SERVICES
"=""5186""",MHB,MALAYSIA MARINE AND HEAVY ENG,MAIN MARKET,ENERGY
"=""518613""",MHB-C13,MHB-C13: CW MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD (MACQ),STRCWARR,ENERGY
"=""5187""",HBGLOB,HB GLOBAL LIMITED,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
