Stock,Stock Name,Stock Long Name,Board,Sector
"=""710640""",SUPERMX-C40,SUPERMX-C40: CW SUPERMAX CORPORATION BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""710642""",SUPERMX-C42,SUPERMX-C42: CW SUPERMAX CORPORATION BERHAD (MIBB),STRCWARR,HEALTH CARE
"=""710646""",SUPERMX-C46,SUPERMX-C46: CW SUPERMAX CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""710647""",SUPERMX-C47,SUPERMX-C47: CW SUPERMAX CORPORATION BERHAD (RHB),STRCWARR,HEALTH CARE
"=""710648""",SUPERMX-C48,SUPERMX-C48: CW SUPERMAX CORPORATION BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""710649""",SUPERMX-C49,SUPERMX-C49: CW SUPERMAX CORPORATION BERHAD (KIBB),STRCWARR,HEALTH CARE
"=""710650""",SUPERMX-C50,SUPERMX-C50: CW SUPERMAX CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""710651""",SUPERMX-C51,SUPERMX-C51: CW SUPERMAX CORPORATION BERHAD (AM),STRCWARR,HEALTH CARE
"=""710652""",SUPERMX-C52,SUPERMX-C52: CW SUPERMAX CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""710653""",SUPERMX-C53,SUPERMX-C53: CW SUPERMAX CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""710654""",SUPERMX-C54,SUPERMX-C54: CW SUPERMAX CORPORATION BERHAD (MIBB),STRCWARR,HEALTH CARE
"=""710655""",SUPERMX-C55,SUPERMX-C55: CW SUPERMAX CORPORATION BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""710656""",SUPERMX-C56,SUPERMX-C56: CW SUPERMAX CORPORATION BERHAD (RHB),STRCWARR,HEALTH CARE
"=""710657""",SUPERMX-C57,SUPERMX-C57: CW SUPERMAX CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""710658""",SUPERMX-C58,SUPERMX-C58: CW SUPERMAX CORPORATION BERHAD (KIBB),STRCWARR,HEALTH CARE
"=""710659""",SUPERMX-C59,SUPERMX-C59: CW SUPERMAX CORPORATION BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""710660""",SUPERMX-C60,SUPERMX-C60: CW SUPERMAX CORPORATION BERHAD (RHB),STRCWARR,HEALTH CARE
"=""710661""",SUPERMX-C61,SUPERMX-C61: CW SUPERMAX CORPORATION BERHAD (AM),STRCWARR,HEALTH CARE
"=""7107""",OFI,ORIENTAL FOOD INDUSTRIES HLDG,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7108""",PERDANA,PERDANA PETROLEUM BERHAD,MAIN MARKET,ENERGY
"=""7111""",WEIDA,WEIDA (M) BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7113""",TOPGLOV,TOP GLOVE CORPORATION BHD,MAIN MARKET,HEALTH CARE
"=""711333""",TOPGLOV-C33,TOPGLOV-C33: CW TOP GLOVE CORPORATION BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""711334""",TOPGLOV-C34,TOPGLOV-C34: CW TOP GLOVE CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""711335""",TOPGLOV-C35,TOPGLOV-C35: CW TOP GLOVE CORPORATION BERHAD (AM),STRCWARR,HEALTH CARE
"=""711336""",TOPGLOV-C36,TOPGLOV-C36: CW TOP GLOVE CORPORATION BERHAD (RHB),STRCWARR,HEALTH CARE
"=""711337""",TOPGLOV-C37,TOPGLOV-C37: CW TOP GLOVE CORPORATION BERHAD (MIBB),STRCWARR,HEALTH CARE
"=""711338""",TOPGLOV-C38,TOPGLOV-C38: CW TOP GLOVE CORPORATION BERHAD (KIBB),STRCWARR,HEALTH CARE
"=""711339""",TOPGLOV-C39,TOPGLOV-C39: CW TOP GLOVE CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""711340""",TOPGLOV-C40,TOPGLOV-C40: CW TOP GLOVE CORPORATION BERHAD (RHB),STRCWARR,HEALTH CARE
"=""711341""",TOPGLOV-C41,TOPGLOV-C41: CW TOP GLOVE CORPORATION BHD (CIMB),STRCWARR,HEALTH CARE
"=""711342""",TOPGLOV-C42,TOPGLOV-C42: CW TOP GLOVE CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""711343""",TOPGLOV-C43,TOPGLOV-C43: CW TOP GLOVE CORPORATION BERHAD (KIBB),STRCWARR,HEALTH CARE
"=""711344""",TOPGLOV-C44,TOPGLOV-C44: CW TOP GLOVE CORPORATION BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""7114""",DNONCE,DNONCE TECHNOLOGY BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7114WA""",DNONCE-WA,DNONCE TECHNOLOGY BHD - WARRANTS 2015/2020,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7115""",SKBSHUT,SKB SHUTTERS CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7117""",CJCEN,CJ CENTURY LOGISTICS HOLDINGS BERHAD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7119""",DEGEM,DEGEM BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7120""",ACOSTEC,ACOUSTECH BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7121""",XIANLNG,XIAN LENG HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7122""",YFG,YFG BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7123""",PWORTH,PRICEWORTH INTERNATIONAL BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7126""",LONBISC,LONDON BISCUITS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7126WA""",LONBISC-WA,LONDON BISCUITS BERHAD-WARRANTS 2015/2020,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7128""",CAMRES,CAM RESOURCES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7129""",ASIAFLE,ASIA FILE CORPORATION BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7130""",KPOWER,KUMPULAN POWERNET BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7131""",ACME,ACME HOLDINGS BERHAD,MAIN MARKET,PROPERTY
"=""7132""",SMISCOR,SMIS CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7133""",ULICORP,UNITED U-LI CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7134""",PWF,PWF CONSOLIDATED BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7134WA""",PWF-WA,PWF CONSOLIDATED BERHAD - WARRANTS 16/21,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7137""",UMS,UMS HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7139""",NICE,NICHE CAPITAL EMAS HLDG BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7139OR""",NICE-OR,NICHE CAPITAL EMAS HOLDINGS BERHAD - ORDINARY RIGHTS,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7140""",OKA,OKA CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7143""",STONE,STONE MASTER CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7143WA""",STONE-WA,STONE MASTER CORPORATION BHD - WARRANTS  A  2015/2020,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7145""",PSIPTEK,PRINSIPTEK CORPORATION BHD,MAIN MARKET,CONSTRUCTION
"=""7145WA""",PSIPTEK-WA,PRINSIPTEK CORPORATION BERHAD - WARRANTS A,MAIN MARKET,CONSTRUCTION
"=""7146""",AEM,AE MULTI HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7146WA""",AEM-WA,AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7148""",CCMDBIO,CCM DUOPHARMA BIOTECH BHD,MAIN MARKET,HEALTH CARE
"=""7149""",ENGKAH,ENG KAH CORPORATION BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7152""",JAYCORP,JAYCORP BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7153""",KOSSAN,KOSSAN RUBBER INDUSTRIES BHD,MAIN MARKET,HEALTH CARE
"=""7153CY""",KOSSAN-CY,KOSSAN-CY: CW KOSSAN RUBBER INDUSTRIES BERHAD (RHB),STRCWARR,HEALTH CARE
"=""7154""",CAELY,CAELY HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7154WA""",CAELY-WA,CAELY HOLDINGS BERHAD - WARRANTS 2018/2021,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7155""",SKPRES,SKP RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7155CN""",SKPRES-CN,SKPRES-CN: CW SKP RESOURCES BERHAD (AM),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""7155CO""",SKPRES-CO,SKPRES-CO: CW SKP RESOURCES BERHAD (RHB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""7155CP""",SKPRES-CP,SKPRES-CP: CW SKP RESOURCES BERHAD (KIBB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""7157""",CYL,CYL CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7158""",SCOMI,SCOMI GROUP BHD,MAIN MARKET,ENERGY
"=""7158WB""",SCOMI-WB,SCOMI GROUP BERHAD - WARRANTS B,MAIN MARKET,ENERGY
"=""7160""",PENTA,PENTAMASTER CORPORATION BHD,MAIN MARKET,TECHNOLOGY
"=""7161""",KERJAYA,KERJAYA PROSPEK GROUP BERHAD,MAIN MARKET,CONSTRUCTION
"=""7161CJ""",KERJAYA-CJ,KERJAYA-CJ: CW KERJAYA PROSPEK GROUP BERHAD (AM),STRCWARR,CONSTRUCTION
"=""7161WB""",KERJAYA-WB,KERJAYA PROSPEK GROUP BERHAD - WARRANTS B 2018/2023,MAIN MARKET,CONSTRUCTION
"=""7162""",ASTINO,ASTINO BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7163""",PJBUMI,PJBUMI BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7163WA""",PJBUMI-WA,PJBUMI BERHAD-WARRANTS A 2017/2022,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7164""",KNM,KNM GROUP BHD,MAIN MARKET,ENERGY
"=""7164WB""",KNM-WB,KNM GROUP BERHAD - WARRANTS 2015/2020,MAIN MARKET,ENERGY
"=""7165""",SGB,SPRING GALLERY BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7165PA""",SGB-PA,SPRING GALLERY BERHAD - ICPS 2016/2021,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7165WA""",SGB-WA,SPRING GALLERY BERHAD - WARRANTS 2016/2021,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7167""",JOHOTIN,JOHORE TIN BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7168""",PRG,PRG HOLDINGS BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7168WA""",PRG-WA,PRG HOLDINGS BERHAD-WARRANTS 2014/2019,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7169""",DOMINAN,DOMINANT ENTERPRISE BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7169WA""",DOMINAN-WA,DOMINANT ENTERPRISE BERHAD - WARRANTS 2015/2020,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7170""",LFECORP,LFE CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7172""",PMBTECH,PMB TECHNOLOGY BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7172LA""",PMBTECH-LA,PMB TECHNOLOGY BERHAD - ICULS A 2018/2023,LOANS,INDUSTRIAL PRODUCTS & SERVICES
"=""7172WA""",PMBTECH-WA,PMB TECHNOLOGY BERHAD - WARRANTS A 2018/2023,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7173""",TOYOINK,TOYO INK GROUP BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7173WB""",TOYOINK-WB,TOYO INK GROUP BERHAD - WARRANTS 2018/2023,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7174""",CAB,CAB CAKARAN CORPORATION BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7174WA""",CAB-WA,CAB CAKARAN CORPORATION BERHAD - Warrants 2015/2020,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7176""",TPC,TPC PLUS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7176WA""",TPC-WA,TPC PLUS BERHAD - WARRANTS A 2016/2021,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7178""",YSPSAH,Y.S.P.SOUTHEAST ASIA HOLDING,MAIN MARKET,HEALTH CARE
"=""7179""",DBE,D.B.E. GURNEY RESOURCES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7179WB""",DBE-WB,D.B.E. GURNEY RESOURCES BERHAD - WARRANTS 2017/2022,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7180""",SERNKOU,SERN KOU RESOURCES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7180WA""",SERNKOU-WA,SERN KOU RESOURCES BERHAD - WARRANTS 2018/2023,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7181""",ATURMJU,ATURMAJU RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7182""",EKA,EKA NOODLES BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7182WA""",EKA-WA,EKA NOODLES BERHAD - Warrants 2014/2019,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7183""",IRETEX,IRE-TEX CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7183LA""",IRETEX-LA,IRE-TEX CORPORATION BERHAD-ICULS 14/19,LOANS,INDUSTRIAL PRODUCTS & SERVICES
"=""7183WA""",IRETEX-WA,IRE-TEX CORPORATION BERHAD-WARRANTS 14/19,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7184""",G3,G3 GLOBAL BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7184WA""",G3-WA,G3 GLOBAL BERHAD - WARRANTS 2017/2022,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7186""",SWSCAP,SWS CAPITAL BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7186WB""",SWSCAP-WB,SWS CAPITAL BERHAD - WARRANTS 2018/2023,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7187""",CHGP,CHIN HIN GROUP PROPERTY BERHAD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7187WA""",CHGP-WA,CHIN HIN GROUP PROPERTY BERHAD - WARRANTS 2013/2023,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7188""",BTM,BTM RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7188WA""",BTM-WA,BTM RESOURCES BHD-WARR 09/19,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7188WB""",BTM-WB,BTM RESOURCES BERHAD-WARRANTS 14/24,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7189""",MBWORLD,MB WORLD GROUP BERHAD,MAIN MARKET,PROPERTY
"=""7190""",PPG,PELANGI PUBLISHING GROUP BHD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""7191""",ADVENTA,ADVENTA BHD,MAIN MARKET,HEALTH CARE
"=""7192""",GOODWAY,GOODWAY INTEGRATED INDUSTRIES,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7195""",COMCORP,COMINTEL CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7197""",GESHEN,GE-SHEN CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7198""",DPS,DPS RESOURCES BHD,MAIN MARKET,PROPERTY
"=""7198WB""",DPS-WB,DPS RESOURCES BERHAD - WARRANTS B 2015/2025,MAIN MARKET,PROPERTY
"=""7199""",KEINHIN,KEIN HING INTERNATIONAL BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7200""",TEKSENG,TEK SENG HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7200WA""",TEKSENG-WA,TEK SENG HOLDINGS BERHAD - WARRANTS 2015/2020,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7201""",PICORP,PROGRESSIVE IMPACT CORPORATION,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7202""",CSCENIC,CLASSIC SCENIC BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7203""",WANGZNG,WANG-ZHENG BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7204""",D&O,D&O GREEN TECHNOLOGIES BERHAD,MAIN MARKET,TECHNOLOGY
"=""7205""",COCOLND,COCOALAND HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7206""",THHEAVY,TH HEAVY ENGINEERING BERHAD,MAIN MARKET,ENERGY
"=""7206PB""",THHEAVY-PB,TH HEAVY ENGINEERING BERHAD-ISLAMIC IRREDEEMABLE CONVERTIBLE PREFERENCE SHARES 15/20,MAIN MARKET,ENERGY
"=""7207""",SUCCESS,SUCCESS TRANSFORMER CORP BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7208""",EURO,EURO HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7209""",CHEETAH,CHEETAH HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7210""",FREIGHT,FREIGHT MANAGEMENT HLDGS BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7211""",TAFI,TAFI INDUSTRIES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7212""",DESTINI,DESTINI BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7213""",HOVID,HOVID BHD,MAIN MARKET,HEALTH CARE
"=""7214""",ARANK,A-RANK BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7215""",NIHSIN,NI HSIN RESOURCES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7216""",KAWAN,KAWAN FOOD BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7217""",EMETALL,EONMETALL GROUP BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7218""",TOCEAN,TRANSOCEAN HOLDINGS BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""7219""",MINETEC,MINETECH RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7219WA""",MINETEC-WA,MINETECH RESOURCES BERHAD - WARRANT A 2014/2019,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7221""",BSLCORP,BSL CORPORATION BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7222""",IMASPRO,IMASPRO CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7223""",JADI,JADI IMAGING HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7225""",PA,P.A. RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7225WB""",PA-WB,P.A. RESOURCES BERHAD - WARRANTS B 2017/2022,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7226""",WATTA,WATTA HOLDING BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7227""",UMSNGB,UMS-NEIKEN GROUP BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7228""",T7GLOBAL,T7 GLOBAL BERHAD,MAIN MARKET,ENERGY
"=""7229""",FAVCO,FAVELLE FAVCO BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7230""",TOMEI,TOMEI CONSOLIDATED BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7231""",WELLCAL,WELLCALL HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7232""",RESINTC,RESINTECH BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7233""",DUFU,DUFU TECHNOLOGY CORP. BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7234""",MESB,MESB BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7234WA""",MESB-WA,MESB BERHAD - WARRANTS 2017/2022,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7235""",SUPERLN,SUPERLON HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7237""",PWROOT,POWER ROOT BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7237WA""",PWROOT-WA,POWER ROOT BERHAD - WARRANTS 2018/2023,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7239""",SCNWOLF,SCANWOLF CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7240""",VERTICE,VERTICE BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7240WA""",VERTICE-WA,VERTICE BERHAD - WARRANTS A 2014/2024,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7241""",NGGB,NEXTGREEN GLOBAL BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7241WA""",NGGB-WA,NEXTGREEN GLOBAL BERHAD - WARRANTS A 2015/2020,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7243""",BIOOSMO,BIO OSMO BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7245""",WZSATU,WZ SATU BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7245WA""",WZSATU-WA,WZ SATU BERHAD - WARRANTS A 2014/2024,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7246""",SIGN,SIGNATURE INTERNATIONAL BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7246WA""",SIGN-WA,SIGNATURE INTERNATIONAL BERHAD - WARRANTS 2016/2021,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7247""",SCGM,SCGM BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7247WA""",SCGM-WA,SCGM BERHAD - WARRANTS A,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7248""",SLP,SLP RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7249""",EWEIN,EWEIN BERHAD,MAIN MARKET,PROPERTY
"=""7250""",UZMA,UZMA BHD,MAIN MARKET,ENERGY
"=""7251""",BARAKAH,BARAKAH OFFSHORE PETROLEUM BHD,MAIN MARKET,ENERGY
"=""7252""",TEOSENG,TEO SENG CAPITAL BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7252WA""",TEOSENG-WA,TEO SENG CAPITAL BERHAD - Warrants 2015/2020,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7253""",HANDAL,HANDAL RESOURCES BERHAD,MAIN MARKET,ENERGY
"=""7277""",DIALOG,DIALOG GROUP BHD,MAIN MARKET,ENERGY
"=""727728""",DIALOG-C28,DIALOG-C28: CW DIALOG GROUP BERHAD (CIMB),STRCWARR,ENERGY
"=""727733""",DIALOG-C33,DIALOG-C33: CW DIALOG GROUP BERHAD (CIMB),STRCWARR,ENERGY
"=""727734""",DIALOG-C34,DIALOG-C34: CW DIALOG GROUP BERHAD (AM),STRCWARR,ENERGY
"=""727735""",DIALOG-C35,DIALOG-C35: CW DIALOG GROUP BERHAD (MACQ),STRCWARR,ENERGY
"=""727736""",DIALOG-C36,DIALOG-C36: CW DIALOG GROUP BERHAD (MIBB),STRCWARR,ENERGY
"=""727737""",DIALOG-C37,DIALOG-C37: CW DIALOG GROUP BERHAD (CIMB),STRCWARR,ENERGY
"=""727738""",DIALOG-C38,DIALOG-C38: CW DIALOG GROUP BERHAD (RHB),STRCWARR,ENERGY
"=""727739""",DIALOG-C39,DIALOG-C39: CW DIALOG GROUP BERHAD (KIBB),STRCWARR,ENERGY
"=""727740""",DIALOG-C40,DIALOG-C40: CW DIALOG GROUP BERHAD (MACQ),STRCWARR,ENERGY
"=""727741""",DIALOG-C41,DIALOG-C41: CW DIALOG GROUP BERHAD (RHB),STRCWARR,ENERGY
"=""7285""",TOMYPAK,TOMYPAK HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7285WA""",TOMYPAK-WA,TOMYPAK HOLDINGS BERHAD - WARRANTS A 2016/2021,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7293""",YINSON,YINSON HOLDINGS BHD,MAIN MARKET,ENERGY
"=""7293CS""",YINSON-CS,YINSON-CS: CW YINSON HOLDINGS BERHAD (MACQ),STRCWARR,ENERGY
"=""7293CT""",YINSON-CT,YINSON-CT: CW YINSON HOLDINGS BERHAD (CIMB),STRCWARR,ENERGY
"=""7293CU""",YINSON-CU,YINSON-CU: CW YINSON HOLDINGS BERHAD (AM),STRCWARR,ENERGY
"=""7293CV""",YINSON-CV,YINSON-CV: CW YINSON HOLDINGS BERHAD (RHB),STRCWARR,ENERGY
"=""7315""",AHB,AHB HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7315WB""",AHB-WB,AHB HOLDINGS BERHAD - WARRANTS B 2014/2019,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7323""",KEN,KEN HOLDINGS BHD,MAIN MARKET,PROPERTY
"=""7374""",TIENWAH,TIEN WAH PRESS HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7382""",GLBHD,GOLDEN LAND BERHAD,MAIN MARKET,PLANTATION
"=""7412""",SHH,SHH RESOURCES HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7439""",TECGUAN,TECK GUAN PERDANA BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""7471""",EDEN,EDEN INC. BHD,MAIN MARKET,UTILITIES
"=""7471WB""",EDEN-WB,EDEN INC. BERHAD - WARRANTS B 2018/2021,MAIN MARKET,UTILITIES
"=""7498""",RALCO,RALCO CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""7498WB""",RALCO-WB,RALCO CORP BHD-WARRANTS 09/19,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
